indexNoteChord,ChordNotes
"('A', 'Major')","A,C#,E"
"('A', 'Minor')","A,C,E"
"('A', 'Aug')","A,C#,F"
"('A', 'Dim')","A,C,D#"
"('A', 'Fifth')","A,E"
"('A', 'Fifth_9th')","A,E,B"
"('A', 'Fifth_Octave')","A,E,A"
"('A', 'Octave')","A,A"
"('A', 'Sus2')","A,B,E"
"('A', 'Sus4')","A,D,E"
"('A', '11')","A,C#,E,G,B,D"
"('A', '11b9')","A,C#,E,G,A#,D"
"('A', '13')","A,C#,E,G,B,F#"
"('A', '13#9')","A,C#,E,G,C,F#"
"('A', '13b5b9')","A,C#,D#,G,A#,F#"
"('A', '13b9')","A,C#,E,G,A#"
"('A', '6')","A,C#,E,F#"
"('A', '6add9')","A,C#,E,F#,B"
"('A', '6sus4')","A,D,E,F#"
"('A', '7')","A,C#,E,G"
"('A', '7#11')","A,C#,E,G,D#"
"('A', '7#5')","A,C#,F,G"
"('A', '7#5#9')","A,C#,E,G,C"
"('A', '7#5b9')","A,C#,E,G,A#"
"('A', '7#9')","A,C#,E,G,C"
"('A', '7add11')","A,C#,E,G,D"
"('A', '7add13')","A,C#,E,G,F#"
"('A', '7b5')","A,C#,D#,G"
"('A', '7b5b9')","A,C#,D#,G,A#"
"('A', '7b9')","A,C#,E,G,A#"
"('A', '7sus4')","A,D,E,G"
"('A', '9')","A,C#,E,G,B"
"('A', '9#11')","A,C#,E,G,B,D#"
"('A', '9#5')","A,C#,F,G,B"
"('A', '9b13')","A,C#,E,G,B,F#"
"('A', '9b5')","A,C#,D#,G,B"
"('A', '9sus4')","A,D,E,G,B"
"('A', 'add9')","A,C#,E,B"
"('A', 'augsus4')","A,D,F"
"('A', 'm11')","A,C,E,G,B,D"
"('A', 'm13')","A,C,E,G,B,F#"
"('A', 'm6')","A,C,E,F#"
"('A', 'm6add9')","A,C,E,F#,B"
"('A', 'm7')","A,C,E,G"
"('A', 'm7add11')","A,C,E,G,D"
"('A', 'm7add13')","A,C,E,G,F#"
"('A', 'm7b5')","A,C,D#,G"
"('A', 'm7b9')","A,C,E,G,A#"
"('A', 'm9')","A,C,E,G,B"
"('A', 'm9b5')","A,C,D#,G,B"
"('A', 'm9-Maj7')","A,C,E,G#,B"
"('A', 'madd9')","A,C,E,B"
"('A', 'Maj11')","A,C#,E,G#,B,D"
"('A', 'Maj13')","A,C#,E,G#,B,F#"
"('A', 'Maj7')","A,C#,E,G#"
"('A', 'Maj7#11')","A,C#,E,G#,D#"
"('A', 'Maj7#5')","A,C#,F,G#"
"('A', 'Maj7add13')","A,C#,E,G#,F#"
"('A', 'Maj7b5')","A,C#,D#,G"
"('A', 'Maj9')","A,C#,E,G#,B"
"('A', 'Maj9#11')","A,C#,E,G#,B,D#"
"('A', 'Maj9#5')","A,C#,F,G#,B"
"('A', 'Maj9sus4')","A,D,E,G#,B"
"('A', 'Majb5')","A,C#,D#"
"('A', 'mb5')","A,C,D#"
"('A', 'm-Maj11')","A,C,E,G#,B,D"
"('A', 'm-Maj13')","A,C,E,G#,B,F#"
"('A', 'm-Maj7')","A,C,E,G#"
"('A', 'm-Maj7add11')","A,C,E,G#,D"
"('A', 'm-Maj7add13')","A,C,E,G#,F#"
"('A', 'tri')","A,C,D#,F#"
"('A', 'Majb7')","A,C#,E,F#"
"('A', 'Min#5')","A,C,F"
"('A', 'Dom7')","A,C#,E,G"
"('A', 'Dom7b5')","A,C#,D#,G"
"('A', 'Dom7#5')","A,C#,F,G"
"('A', 'Dim7')","A,C,D#,F#"
"('A', 'm#5')","A,C,F"
"('A', 'm#7#5')","A,C,F,G#"
"('A', 'm7#5')","A,C,F,G#"
"('A', 'Aug-06')","A,C#,F,F#"
"('A#', 'Major')","A#,D,F"
"('A#', 'Minor')","A#,C#,F"
"('A#', 'Aug')","A#,D,F#"
"('A#', 'Dim')","A#,C#,E"
"('A#', 'Fifth')","A#,F"
"('A#', 'Fifth_9th')","A#,F,C"
"('A#', 'Fifth_Octave')","A#,F,A#"
"('A#', 'Octave')","A#,A#"
"('A#', 'Sus2')","A#,C,F"
"('A#', 'Sus4')","A#,D#,F"
"('A#', '11')","A#,D,F,G#,C,D#"
"('A#', '11b9')","A#,D,F,G#,B,D#"
"('A#', '13')","A#,D,F,G#,C,G"
"('A#', '13#9')","A#,D,F,G#,C#,G"
"('A#', '13b5b9')","A#,D,E,G#,B,G"
"('A#', '13b9')","A#,D,F,G#,B"
"('A#', '6')","A#,D,F,G"
"('A#', '6add9')","A#,D,F,G,C"
"('A#', '6sus4')","A#,D#,F,G"
"('A#', '7')","A#,D,F,G#"
"('A#', '7#11')","A#,D,F,G#,E"
"('A#', '7#5')","A#,D,F#,G#"
"('A#', '7#5#9')","A#,D,F,G#,C#"
"('A#', '7#5b9')","A#,D,F,G#,B"
"('A#', '7#9')","A#,D,F,G#,C#"
"('A#', '7add11')","A#,D,F,G#,D#"
"('A#', '7add13')","A#,D,F,G#,G"
"('A#', '7b5')","A#,D,E,G#"
"('A#', '7b5b9')","A#,D,E,G#,B"
"('A#', '7b9')","A#,D,F,G#,B"
"('A#', '7sus4')","A#,D#,F,G#"
"('A#', '9')","A#,D,F,G#,C"
"('A#', '9#11')","A#,D,F,G#,C,E"
"('A#', '9#5')","A#,D,F#,G#,C"
"('A#', '9b13')","A#,D,F,G#,C,G"
"('A#', '9b5')","A#,D,E,G#,C"
"('A#', '9sus4')","A#,D#,F,G#,C"
"('A#', 'add9')","A#,D,F,C"
"('A#', 'augsus4')","A#,D#,F#"
"('A#', 'm11')","A#,C#,F,G#,C,D#"
"('A#', 'm13')","A#,C#,F,G#,C,G"
"('A#', 'm6')","A#,C#,F,G"
"('A#', 'm6add9')","A#,C#,F,G,C"
"('A#', 'm7')","A#,C#,F,G#"
"('A#', 'm7add11')","A#,C#,F,G#,D#"
"('A#', 'm7add13')","A#,C#,F,G#,G"
"('A#', 'm7b5')","A#,C#,E,G#"
"('A#', 'm7b9')","A#,C#,F,G#,B"
"('A#', 'm9')","A#,C#,F,G#,C"
"('A#', 'm9b5')","A#,C#,E,G#,C"
"('A#', 'm9-Maj7')","A#,C#,F,A,C"
"('A#', 'madd9')","A#,C#,F,C"
"('A#', 'Maj11')","A#,D,F,A,C,D#"
"('A#', 'Maj13')","A#,D,F,A,C,G"
"('A#', 'Maj7')","A#,D,F,A"
"('A#', 'Maj7#11')","A#,D,F,A,E"
"('A#', 'Maj7#5')","A#,D,F#,A"
"('A#', 'Maj7add13')","A#,D,F,A,G"
"('A#', 'Maj7b5')","A#,D,E,G#"
"('A#', 'Maj9')","A#,D,F,A,C"
"('A#', 'Maj9#11')","A#,D,F,A,C,E"
"('A#', 'Maj9#5')","A#,D,F#,A,C"
"('A#', 'Maj9sus4')","A#,D#,F,A,C"
"('A#', 'Majb5')","A#,D,E"
"('A#', 'mb5')","A#,C#,E"
"('A#', 'm-Maj11')","A#,C#,F,A,C,D#"
"('A#', 'm-Maj13')","A#,C#,F,A,C,G"
"('A#', 'm-Maj7')","A#,C#,F,A"
"('A#', 'm-Maj7add11')","A#,C#,F,A,D#"
