Note,Scale,Notes
A,Major,"'A', 'B', 'C#', 'D', 'E', 'F#', 'G#', 'A'"
A,Natural_Minor,"'A', 'B', 'C', 'D', 'E', 'F', 'G', 'A'"
A,Harmonic_Minor,"'A', 'B', 'C', 'D', 'E', 'F', 'G#', 'A'"
A,Melodic_Minor,"'A', 'B', 'C', 'D', 'E', 'F#', 'G#', 'A'"
A,Dorianb2,"'A', 'A#', 'C', 'D', 'E', 'F#', 'G#', 'A'"
A,Phryging_Dominant,"'A', 'A#', 'C#', 'D', 'E', 'F', 'G#', 'A'"
A,Lydian_Minor,"'A', 'B', 'C#', 'D#', 'E', 'F', 'G', 'A'"
A,Mixolydian_Augmented,"'A', 'B', 'C#', 'D', 'F', 'F#', 'G', 'A'"
A,Locrian_Dominant,"'A', 'B', 'C#', 'D', 'D#', 'F', 'G', 'A'"
A#,Major,"'A#', 'C', 'D', 'D#', 'F', 'G', 'A', 'A#'"
A#,Natural_Minor,"'A#', 'C', 'C#', 'D#', 'F', 'F#', 'G#', 'A#'"
A#,Harmonic_Minor,"'A#', 'C', 'C#', 'D#', 'F', 'F#', 'A', 'A#'"
A#,Melodic_Minor,"'A#', 'C', 'C#', 'D#', 'F', 'G', 'A', 'A#'"
A#,Dorianb2,"'A#', 'B', 'C#', 'D#', 'F', 'G', 'A', 'A#'"
A#,Phryging_Dominant,"'A#', 'B', 'D', 'D#', 'F', 'F#', 'A', 'A#'"
A#,Lydian_Minor,"'A#', 'C', 'D', 'E', 'F', 'F#', 'G#', 'A#'"
A#,Mixolydian_Augmented,"'A#', 'C', 'D', 'D#', 'F#', 'G', 'G#', 'A#'"
A#,Locrian_Dominant,"'A#', 'C', 'D', 'D#', 'E', 'F#', 'G#', 'A#'"
B,Major,"'B', 'C#', 'D#', 'E', 'F#', 'G#', 'A#', 'B'"
B,Natural_Minor,"'B', 'C#', 'D', 'E', 'F#', 'G', 'A', 'B'"
B,Harmonic_Minor,"'B', 'C#', 'D', 'E', 'F#', 'G', 'A#', 'B'"
B,Melodic_Minor,"'B', 'C#', 'D', 'E', 'F#', 'G#', 'A#', 'B'"
B,Dorianb2,"'B', 'C', 'D', 'E', 'F#', 'G#', 'A#', 'B'"
B,Phryging_Dominant,"'B', 'C', 'D#', 'E', 'F#', 'G', 'A#', 'B'"
B,Lydian_Minor,"'B', 'C#', 'D#', 'F', 'F#', 'G', 'A', 'B'"
B,Mixolydian_Augmented,"'B', 'C#', 'D#', 'E', 'G', 'G#', 'A', 'B'"
B,Locrian_Dominant,"'B', 'C#', 'D#', 'E', 'F', 'G', 'A', 'B'"
C,Major,"'C', 'D', 'E', 'F', 'G', 'A', 'B', 'C'"
C,Natural_Minor,"'C', 'D', 'D#', 'F', 'G', 'G#', 'A#', 'C'"
C,Harmonic_Minor,"'C', 'D', 'D#', 'F', 'G', 'G#', 'B', 'C'"
C,Melodic_Minor,"'C', 'D', 'D#', 'F', 'G', 'A', 'B', 'C'"
C,Dorianb2,"'C', 'C#', 'D#', 'F', 'G', 'A', 'B', 'C'"
C,Phryging_Dominant,"'C', 'C#', 'E', 'F', 'G', 'G#', 'B', 'C'"
C,Lydian_Minor,"'C', 'D', 'E', 'F#', 'G', 'G#', 'A#', 'C'"
C,Mixolydian_Augmented,"'C', 'D', 'E', 'F', 'G#', 'A', 'A#', 'C'"
C,Locrian_Dominant,"'C', 'D', 'E', 'F', 'F#', 'G#', 'A#', 'C'"
C#,Major,"'C#', 'D#', 'F', 'F#', 'G#', 'A#', 'C', 'C#'"
C#,Natural_Minor,"'C#', 'D#', 'E', 'F#', 'G#', 'A', 'B', 'C#'"
C#,Harmonic_Minor,"'C#', 'D#', 'E', 'F#', 'G#', 'A', 'C', 'C#'"
C#,Melodic_Minor,"'C#', 'D#', 'E', 'F#', 'G#', 'A#', 'C', 'C#'"
C#,Dorianb2,"'C#', 'D', 'E', 'F#', 'G#', 'A#', 'C', 'C#'"
C#,Phryging_Dominant,"'C#', 'D', 'F', 'F#', 'G#', 'A', 'C', 'C#'"
C#,Lydian_Minor,"'C#', 'D#', 'F', 'G', 'G#', 'A', 'B', 'C#'"
C#,Mixolydian_Augmented,"'C#', 'D#', 'F', 'F#', 'A', 'A#', 'B', 'C#'"
C#,Locrian_Dominant,"'C#', 'D#', 'F', 'F#', 'G', 'A', 'B', 'C#'"
D,Major,"'D', 'E', 'F#', 'G', 'A', 'B', 'C#', 'D'"
D,Natural_Minor,"'D', 'E', 'F', 'G', 'A', 'A#', 'C', 'D'"
D,Harmonic_Minor,"'D', 'E', 'F', 'G', 'A', 'A#', 'C#', 'D'"
D,Melodic_Minor,"'D', 'E', 'F', 'G', 'A', 'B', 'C#', 'D'"
D,Dorianb2,"'D', 'D#', 'F', 'G', 'A', 'B', 'C#', 'D'"
D,Phryging_Dominant,"'D', 'D#', 'F#', 'G', 'A', 'A#', 'C#', 'D'"
D,Lydian_Minor,"'D', 'E', 'F#', 'G#', 'A', 'A#', 'C', 'D'"
D,Mixolydian_Augmented,"'D', 'E', 'F#', 'G', 'A#', 'B', 'C', 'D'"
D,Locrian_Dominant,"'D', 'E', 'F#', 'G', 'G#', 'A#', 'C', 'D'"
D#,Major,"'D#', 'F', 'G', 'G#', 'A#', 'C', 'D', 'D#'"
D#,Natural_Minor,"'D#', 'F', 'F#', 'G#', 'A#', 'B', 'C#', 'D#'"
D#,Harmonic_Minor,"'D#', 'F', 'F#', 'G#', 'A#', 'B', 'D', 'D#'"
D#,Melodic_Minor,"'D#', 'F', 'F#', 'G#', 'A#', 'C', 'D', 'D#'"
D#,Dorianb2,"'D#', 'E', 'F#', 'G#', 'A#', 'C', 'D', 'D#'"
D#,Phryging_Dominant,"'D#', 'E', 'G', 'G#', 'A#', 'B', 'D', 'D#'"
D#,Lydian_Minor,"'D#', 'F', 'G', 'A', 'A#', 'B', 'C#', 'D#'"
D#,Mixolydian_Augmented,"'D#', 'F', 'G', 'G#', 'B', 'C', 'C#', 'D#'"
D#,Locrian_Dominant,"'D#', 'F', 'G', 'G#', 'A', 'B', 'C#', 'D#'"
E,Major,"'E', 'F#', 'G#', 'A', 'B', 'C#', 'D#', 'E'"
E,Natural_Minor,"'E', 'F#', 'G', 'A', 'B', 'C', 'D', 'E'"
E,Harmonic_Minor,"'E', 'F#', 'G', 'A', 'B', 'C', 'D#', 'E'"
E,Melodic_Minor,"'E', 'F#', 'G', 'A', 'B', 'C#', 'D#', 'E'"
E,Dorianb2,"'E', 'F', 'G', 'A', 'B', 'C#', 'D#', 'E'"
E,Phryging_Dominant,"'E', 'F', 'G#', 'A', 'B', 'C', 'D#', 'E'"
E,Lydian_Minor,"'E', 'F#', 'G#', 'A#', 'B', 'C', 'D', 'E'"
E,Mixolydian_Augmented,"'E', 'F#', 'G#', 'A', 'C', 'C#', 'D', 'E'"
E,Locrian_Dominant,"'E', 'F#', 'G#', 'A', 'A#', 'C', 'D', 'E'"
F,Major,"'F', 'G', 'A', 'A#', 'C', 'D', 'E', 'F'"
F,Natural_Minor,"'F', 'G', 'G#', 'A#', 'C', 'C#', 'D#', 'F'"
F,Harmonic_Minor,"'F', 'G', 'G#', 'A#', 'C', 'C#', 'E', 'F'"
F,Melodic_Minor,"'F', 'G', 'G#', 'A#', 'C', 'D', 'E', 'F'"
F,Dorianb2,"'F', 'F#', 'G#', 'A#', 'C', 'D', 'E', 'F'"
F,Phryging_Dominant,"'F', 'F#', 'A', 'A#', 'C', 'C#', 'E', 'F'"
F,Lydian_Minor,"'F', 'G', 'A', 'B', 'C', 'C#', 'D#', 'F'"
F,Mixolydian_Augmented,"'F', 'G', 'A', 'A#', 'C#', 'D', 'D#', 'F'"
F,Locrian_Dominant,"'F', 'G', 'A', 'A#', 'B', 'C#', 'D#', 'F'"
F#,Major,"'F#', 'G#', 'A#', 'B', 'C#', 'D#', 'F', 'F#'"
F#,Natural_Minor,"'F#', 'G#', 'A', 'B', 'C#', 'D', 'E', 'F#'"
F#,Harmonic_Minor,"'F#', 'G#', 'A', 'B', 'C#', 'D', 'F', 'F#'"
F#,Melodic_Minor,"'F#', 'G#', 'A', 'B', 'C#', 'D#', 'F', 'F#'"
F#,Dorianb2,"'F#', 'G', 'A', 'B', 'C#', 'D#', 'F', 'F#'"
F#,Phryging_Dominant,"'F#', 'G', 'A#', 'B', 'C#', 'D', 'F', 'F#'"
F#,Lydian_Minor,"'F#', 'G#', 'A#', 'C', 'C#', 'D', 'E', 'F#'"
F#,Mixolydian_Augmented,"'F#', 'G#', 'A#', 'B', 'D', 'D#', 'E', 'F#'"
F#,Locrian_Dominant,"'F#', 'G#', 'A#', 'B', 'C', 'D', 'E', 'F#'"
G,Major,"'G', 'A', 'B', 'C', 'D', 'E', 'F#', 'G'"
G,Natural_Minor,"'G', 'A', 'A#', 'C', 'D', 'D#', 'F', 'G'"
G,Harmonic_Minor,"'G', 'A', 'A#', 'C', 'D', 'D#', 'F#', 'G'"
G,Melodic_Minor,"'G', 'A', 'A#', 'C', 'D', 'E', 'F#', 'G'"
G,Dorianb2,"'G', 'G#', 'A#', 'C', 'D', 'E', 'F#', 'G'"
G,Phryging_Dominant,"'G', 'G#', 'B', 'C', 'D', 'D#', 'F#', 'G'"
G,Lydian_Minor,"'G', 'A', 'B', 'C#', 'D', 'D#', 'F', 'G'"
G,Mixolydian_Augmented,"'G', 'A', 'B', 'C', 'D#', 'E', 'F', 'G'"
G,Locrian_Dominant,"'G', 'A', 'B', 'C', 'C#', 'D#', 'F', 'G'"
G#,Major,"'G#', 'A#', 'C', 'C#', 'D#', 'F', 'G', 'G#'"
G#,Natural_Minor,"'G#', 'A#', 'B', 'C#', 'D#', 'E', 'F#', 'G#'"
G#,Harmonic_Minor,"'G#', 'A#', 'B', 'C#', 'D#', 'E', 'G', 'G#'"
G#,Melodic_Minor,"'G#', 'A#', 'B', 'C#', 'D#', 'F', 'G', 'G#'"
G#,Dorianb2,"'G#', 'A', 'B', 'C#', 'D#', 'F', 'G', 'G#'"
G#,Phryging_Dominant,"'G#', 'A', 'C', 'C#', 'D#', 'E', 'G', 'G#'"
G#,Lydian_Minor,"'G#', 'A#', 'C', 'D', 'D#', 'E', 'F#', 'G#'"
G#,Mixolydian_Augmented,"'G#', 'A#', 'C', 'C#', 'E', 'F', 'F#', 'G#'"
G#,Locrian_Dominant,"'G#', 'A#', 'C', 'C#', 'D', 'E', 'F#', 'G#'"
