Note,Scale,Notes
A,Major,"'A', 'B', 'C#', 'D', 'E', 'F#', 'G#', 'A'"
A,Natural Minor,"'A', 'B', 'C', 'D', 'E', 'F', 'G', 'A'"
A,Harmonic Minor,"'A', 'B', 'C', 'D', 'E', 'F', 'G#', 'A'"
A,Melodic Minor,"'A', 'B', 'C', 'D', 'E', 'F#', 'G#', 'A'"
A,Dorianb2,"'A', 'A#', 'C', 'D', 'E', 'F#', 'G#', 'A'"
A,Phyryging Dominant,"'A', 'A#', 'C#', 'D', 'E', 'F', 'G#', 'A'"
A,Lydian Minor,"'A', 'B', 'C#', 'D#', 'E', 'F', 'G', 'A'"
A,Mixolydian Augmented,"'A', 'B', 'C#', 'D', 'F', 'F#', 'G', 'A'"
A,Locrian Dominant,"'A', 'B', 'C#', 'D', 'D#', 'F', 'G', 'A'"
A#,Major,"'A#', 'C', 'D', 'D#', 'F', 'G', 'A', 'A#'"
A#,Natural Minor,"'A#', 'C', 'C#', 'D#', 'F', 'F#', 'G#', 'A#'"
A#,Harmonic Minor,"'A#', 'C', 'C#', 'D#', 'F', 'F#', 'A', 'A#'"
A#,Melodic Minor,"'A#', 'C', 'C#', 'D#', 'F', 'G', 'A', 'A#'"
A#,Dorianb2,"'A#', 'B', 'C#', 'D#', 'F', 'G', 'A', 'A#'"
A#,Phyryging Dominant,"'A#', 'B', 'D', 'D#', 'F', 'F#', 'A', 'A#'"
A#,Lydian Minor,"'A#', 'C', 'D', 'E', 'F', 'F#', 'G#', 'A#'"
A#,Mixolydian Augmented,"'A#', 'C', 'D', 'D#', 'F#', 'G', 'G#', 'A#'"
A#,Locrian Dominant,"'A#', 'C', 'D', 'D#', 'E', 'F#', 'G#', 'A#'"
B,Major,"'B', 'C#', 'D#', 'E', 'F#', 'G#', 'A#', 'B'"
B,Natural Minor,"'B', 'C#', 'D', 'E', 'F#', 'G', 'A', 'B'"
B,Harmonic Minor,"'B', 'C#', 'D', 'E', 'F#', 'G', 'A#', 'B'"
B,Melodic Minor,"'B', 'C#', 'D', 'E', 'F#', 'G#', 'A#', 'B'"
B,Dorianb2,"'B', 'C', 'D', 'E', 'F#', 'G#', 'A#', 'B'"
B,Phyryging Dominant,"'B', 'C', 'D#', 'E', 'F#', 'G', 'A#', 'B'"
B,Lydian Minor,"'B', 'C#', 'D#', 'F', 'F#', 'G', 'A', 'B'"
B,Mixolydian Augmented,"'B', 'C#', 'D#', 'E', 'G', 'G#', 'A', 'B'"
B,Locrian Dominant,"'B', 'C#', 'D#', 'E', 'F', 'G', 'A', 'B'"
C,Major,"'C', 'D', 'E', 'F', 'G', 'A', 'B', 'C'"
C,Natural Minor,"'C', 'D', 'D#', 'F', 'G', 'G#', 'A#', 'C'"
C,Harmonic Minor,"'C', 'D', 'D#', 'F', 'G', 'G#', 'B', 'C'"
C,Melodic Minor,"'C', 'D', 'D#', 'F', 'G', 'A', 'B', 'C'"
C,Dorianb2,"'C', 'C#', 'D#', 'F', 'G', 'A', 'B', 'C'"
C,Phyryging Dominant,"'C', 'C#', 'E', 'F', 'G', 'G#', 'B', 'C'"
C,Lydian Minor,"'C', 'D', 'E', 'F#', 'G', 'G#', 'A#', 'C'"
C,Mixolydian Augmented,"'C', 'D', 'E', 'F', 'G#', 'A', 'A#', 'C'"
C,Locrian Dominant,"'C', 'D', 'E', 'F', 'F#', 'G#', 'A#', 'C'"
C#,Major,"'C#', 'D#', 'F', 'F#', 'G#', 'A#', 'C', 'C#'"
C#,Natural Minor,"'C#', 'D#', 'E', 'F#', 'G#', 'A', 'B', 'C#'"
C#,Harmonic Minor,"'C#', 'D#', 'E', 'F#', 'G#', 'A', 'C', 'C#'"
C#,Melodic Minor,"'C#', 'D#', 'E', 'F#', 'G#', 'A#', 'C', 'C#'"
C#,Dorianb2,"'C#', 'D', 'E', 'F#', 'G#', 'A#', 'C', 'C#'"
C#,Phyryging Dominant,"'C#', 'D', 'F', 'F#', 'G#', 'A', 'C', 'C#'"
C#,Lydian Minor,"'C#', 'D#', 'F', 'G', 'G#', 'A', 'B', 'C#'"
C#,Mixolydian Augmented,"'C#', 'D#', 'F', 'F#', 'A', 'A#', 'B', 'C#'"
C#,Locrian Dominant,"'C#', 'D#', 'F', 'F#', 'G', 'A', 'B', 'C#'"
D,Major,"'D', 'E', 'F#', 'G', 'A', 'B', 'C#', 'D'"
D,Natural Minor,"'D', 'E', 'F', 'G', 'A', 'A#', 'C', 'D'"
D,Harmonic Minor,"'D', 'E', 'F', 'G', 'A', 'A#', 'C#', 'D'"
D,Melodic Minor,"'D', 'E', 'F', 'G', 'A', 'B', 'C#', 'D'"
D,Dorianb2,"'D', 'D#', 'F', 'G', 'A', 'B', 'C#', 'D'"
D,Phyryging Dominant,"'D', 'D#', 'F#', 'G', 'A', 'A#', 'C#', 'D'"
D,Lydian Minor,"'D', 'E', 'F#', 'G#', 'A', 'A#', 'C', 'D'"
D,Mixolydian Augmented,"'D', 'E', 'F#', 'G', 'A#', 'B', 'C', 'D'"
D,Locrian Dominant,"'D', 'E', 'F#', 'G', 'G#', 'A#', 'C', 'D'"
D#,Major,"'D#', 'F', 'G', 'G#', 'A#', 'C', 'D', 'D#'"
D#,Natural Minor,"'D#', 'F', 'F#', 'G#', 'A#', 'B', 'C#', 'D#'"
D#,Harmonic Minor,"'D#', 'F', 'F#', 'G#', 'A#', 'B', 'D', 'D#'"
D#,Melodic Minor,"'D#', 'F', 'F#', 'G#', 'A#', 'C', 'D', 'D#'"
D#,Dorianb2,"'D#', 'E', 'F#', 'G#', 'A#', 'C', 'D', 'D#'"
D#,Phyryging Dominant,"'D#', 'E', 'G', 'G#', 'A#', 'B', 'D', 'D#'"
D#,Lydian Minor,"'D#', 'F', 'G', 'A', 'A#', 'B', 'C#', 'D#'"
D#,Mixolydian Augmented,"'D#', 'F', 'G', 'G#', 'B', 'C', 'C#', 'D#'"
D#,Locrian Dominant,"'D#', 'F', 'G', 'G#', 'A', 'B', 'C#', 'D#'"
E,Major,"'E', 'F#', 'G#', 'A', 'B', 'C#', 'D#', 'E'"
E,Natural Minor,"'E', 'F#', 'G', 'A', 'B', 'C', 'D', 'E'"
E,Harmonic Minor,"'E', 'F#', 'G', 'A', 'B', 'C', 'D#', 'E'"
E,Melodic Minor,"'E', 'F#', 'G', 'A', 'B', 'C#', 'D#', 'E'"
E,Dorianb2,"'E', 'F', 'G', 'A', 'B', 'C#', 'D#', 'E'"
E,Phyryging Dominant,"'E', 'F', 'G#', 'A', 'B', 'C', 'D#', 'E'"
E,Lydian Minor,"'E', 'F#', 'G#', 'A#', 'B', 'C', 'D', 'E'"
E,Mixolydian Augmented,"'E', 'F#', 'G#', 'A', 'C', 'C#', 'D', 'E'"
E,Locrian Dominant,"'E', 'F#', 'G#', 'A', 'A#', 'C', 'D', 'E'"
F,Major,"'F', 'G', 'A', 'A#', 'C', 'D', 'E', 'F'"
F,Natural Minor,"'F', 'G', 'G#', 'A#', 'C', 'C#', 'D#', 'F'"
F,Harmonic Minor,"'F', 'G', 'G#', 'A#', 'C', 'C#', 'E', 'F'"
F,Melodic Minor,"'F', 'G', 'G#', 'A#', 'C', 'D', 'E', 'F'"
F,Dorianb2,"'F', 'F#', 'G#', 'A#', 'C', 'D', 'E', 'F'"
F,Phyryging Dominant,"'F', 'F#', 'A', 'A#', 'C', 'C#', 'E', 'F'"
F,Lydian Minor,"'F', 'G', 'A', 'B', 'C', 'C#', 'D#', 'F'"
F,Mixolydian Augmented,"'F', 'G', 'A', 'A#', 'C#', 'D', 'D#', 'F'"
F,Locrian Dominant,"'F', 'G', 'A', 'A#', 'B', 'C#', 'D#', 'F'"
F#,Major,"'F#', 'G#', 'A#', 'B', 'C#', 'D#', 'F', 'F#'"
F#,Natural Minor,"'F#', 'G#', 'A', 'B', 'C#', 'D', 'E', 'F#'"
F#,Harmonic Minor,"'F#', 'G#', 'A', 'B', 'C#', 'D', 'F', 'F#'"
F#,Melodic Minor,"'F#', 'G#', 'A', 'B', 'C#', 'D#', 'F', 'F#'"
F#,Dorianb2,"'F#', 'G', 'A', 'B', 'C#', 'D#', 'F', 'F#'"
F#,Phyryging Dominant,"'F#', 'G', 'A#', 'B', 'C#', 'D', 'F', 'F#'"
F#,Lydian Minor,"'F#', 'G#', 'A#', 'C', 'C#', 'D', 'E', 'F#'"
F#,Mixolydian Augmented,"'F#', 'G#', 'A#', 'B', 'D', 'D#', 'E', 'F#'"
F#,Locrian Dominant,"'F#', 'G#', 'A#', 'B', 'C', 'D', 'E', 'F#'"
G,Major,"'G', 'A', 'B', 'C', 'D', 'E', 'F#', 'G'"
G,Natural Minor,"'G', 'A', 'A#', 'C', 'D', 'D#', 'F', 'G'"
G,Harmonic Minor,"'G', 'A', 'A#', 'C', 'D', 'D#', 'F#', 'G'"
G,Melodic Minor,"'G', 'A', 'A#', 'C', 'D', 'E', 'F#', 'G'"
G,Dorianb2,"'G', 'G#', 'A#', 'C', 'D', 'E', 'F#', 'G'"
G,Phyryging Dominant,"'G', 'G#', 'B', 'C', 'D', 'D#', 'F#', 'G'"
G,Lydian Minor,"'G', 'A', 'B', 'C#', 'D', 'D#', 'F', 'G'"
G,Mixolydian Augmented,"'G', 'A', 'B', 'C', 'D#', 'E', 'F', 'G'"
G,Locrian Dominant,"'G', 'A', 'B', 'C', 'C#', 'D#', 'F', 'G'"
G#,Major,"'G#', 'A#', 'C', 'C#', 'D#', 'F', 'G', 'G#'"
G#,Natural Minor,"'G#', 'A#', 'B', 'C#', 'D#', 'E', 'F#', 'G#'"
G#,Harmonic Minor,"'G#', 'A#', 'B', 'C#', 'D#', 'E', 'G', 'G#'"
G#,Melodic Minor,"'G#', 'A#', 'B', 'C#', 'D#', 'F', 'G', 'G#'"
G#,Dorianb2,"'G#', 'A', 'B', 'C#', 'D#', 'F', 'G', 'G#'"
G#,Phyryging Dominant,"'G#', 'A', 'C', 'C#', 'D#', 'E', 'G', 'G#'"
G#,Lydian Minor,"'G#', 'A#', 'C', 'D', 'D#', 'E', 'F#', 'G#'"
G#,Mixolydian Augmented,"'G#', 'A#', 'C', 'C#', 'E', 'F', 'F#', 'G#'"
G#,Locrian Dominant,"'G#', 'A#', 'C', 'C#', 'D', 'E', 'F#', 'G#'"
